DR_ENID_EUPX_20190402_10.csv;;;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;;;
DCW;2019-04-02 10:23:09;;;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Energia;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Korekty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
testppe0001;97612692;0;C22B;ECP;4;2019-03-01;2019-03-31;59781,26;60507,76;43590;0;0;60;1;Z;F;R
testppe0001;97612692;0;C22B;ECP;5;2019-03-01;2019-03-31;13921,11;14199,4;16697;0;0;60;1;Z;F;R
testppe0002;97612697;0;C22B;ECP;4;2019-03-01;2019-03-31;7931,37;7974,12;2565;0;0;60;1;Z;F;R
testppe0002;97612697;0;C22B;ECP;5;2019-03-01;2019-03-31;1785,44;1821,33;2154;0;0;60;1;Z;F;R
testppe0003;97612690;0;C22B;ECP;4;2019-03-01;2019-03-31;44209,58;44817,75;12164;0;0;20;1;Z;F;R
testppe0003;97612690;0;C22B;ECP;5;2019-03-01;2019-03-31;9275,83;9470,45;3892;0;0;20;1;Z;F;R
testppe0004;97612700;0;C22B;ECP;4;2019-03-01;2019-03-31;27072,03;27415,35;20600;0;0;60;1;Z;F;R
testppe0004;97612700;0;C22B;ECP;5;2019-03-01;2019-03-31;5617;5727,69;6641;0;0;60;1;Z;F;R
testppe0005;97612701;0;C22B;ECP;4;2019-03-01;2019-03-31;18779,3;19049,64;16221;0;0;60;1;Z;F;R
testppe0005;97612701;0;C22B;ECP;5;2019-03-01;2019-03-31;3958,21;4032,62;4465;0;0;60;1;Z;F;R
testppe0006;97612702;0;C22B;ECP;4;2019-03-01;2019-03-31;21909,5;22137,63;13688;0;0;60;1;Z;F;R
testppe0006;97612702;0;C22B;ECP;5;2019-03-01;2019-03-31;6836,66;6962,81;7569;0;0;60;1;Z;F;R
